"split","file_name","source_path","output_path","object_count"
"train","defective__0001__2.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0001__2.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0001__2.txt","1"
"train","defective__0002__3.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0002__3.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0002__3.txt","1"
"train","defective__0003__4.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0003__4.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0003__4.txt","1"
"train","defective__0004__5.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0004__5.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0004__5.txt","1"
"train","defective__0005__6.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0005__6.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0005__6.txt","1"
"train","defective__0006__7.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0006__7.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0006__7.txt","1"
"train","defective__0007__8.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0007__8.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0007__8.txt","1"
"train","defective__0008__9.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0008__9.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0008__9.txt","1"
"train","defective__0009__10.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0009__10.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0009__10.txt","1"
"train","defective__0010__11.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det\labels\train\defective__0010__11.txt","C:\Users\86151\Desktop\mangguo_ai_project\datasets\rotten_grade_det_4c\labels\train\defective__0010__11.txt","1"
