                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51108,                 2.4598,                 1.0474,                0.82336,                0.74992,                0.84686,                0.71393,                 0.6529,                 1.5708,                 1.1192,               0.070265,              0.0033038,              0.0033038
                      2,                0.46869,                 1.4376,                0.98949,                0.78651,                0.84934,                0.87287,                 0.7602,                0.52472,                 1.1129,                0.99017,                 0.0402,              0.0065715,              0.0065715
                      3,                0.49835,                 1.2995,                  1.015,                0.80984,                0.78643,                0.86466,                 0.7321,                 0.6297,                 1.1305,                 1.1111,               0.010068,              0.0097731,              0.0097731
                      4,                0.52902,                 1.2548,                 1.0352,                0.70956,                  0.886,                0.86092,                0.74495,                 0.6626,                0.98641,                 1.0951,               0.009703,               0.009703,               0.009703
                      5,                0.53636,                  1.128,                 1.0354,                 0.6964,                0.79838,                0.81935,                0.67727,                0.71844,                 1.2307,                 1.1552,               0.009703,               0.009703,               0.009703
                      6,                0.53741,                 1.0793,                 1.0493,                0.81488,                0.87947,                0.90346,                0.78759,                0.60827,                0.84752,                 1.0417,               0.009604,               0.009604,               0.009604
                      7,                 0.5241,                0.99449,                 1.0321,                0.62787,                0.68868,                0.63551,                 0.5258,                0.92221,                 1.5062,                 1.3784,               0.009505,               0.009505,               0.009505
                      8,                0.51148,                0.91574,                 1.0096,                 0.8143,                0.85017,                0.87349,                0.74683,                0.72133,                0.77955,                 1.1397,               0.009406,               0.009406,               0.009406
                      9,                 0.5057,                  0.869,                 1.0045,                0.82285,                0.86552,                0.87181,                0.75451,                0.61504,                0.83615,                 1.0306,               0.009307,               0.009307,               0.009307
                     10,                0.50337,                0.79758,                0.99143,                0.76116,                0.82542,                0.89101,                0.77646,                0.60216,                0.91373,                 1.0238,               0.009208,               0.009208,               0.009208
                     11,                 0.4771,                0.74115,                0.98008,                0.81385,                0.79465,                0.84914,                0.72309,                0.70745,                0.80252,                 1.1307,               0.009109,               0.009109,               0.009109
                     12,                0.46764,                0.74062,                0.97888,                0.79022,                0.90841,                0.91549,                0.81407,                0.55964,                0.70507,                0.99721,                0.00901,                0.00901,                0.00901
                     13,                0.46195,                0.69623,                0.96883,                0.83297,                0.86806,                0.92107,                 0.8096,                0.59968,                0.63247,                 1.0542,               0.008911,               0.008911,               0.008911
                     14,                0.46978,                0.69184,                0.97478,                0.91475,                0.86939,                0.92624,                0.79076,                0.72878,                0.60878,                 1.1136,               0.008812,               0.008812,               0.008812
                     15,                0.45281,                 0.6418,                0.95741,                0.70402,                0.92896,                0.91045,                0.79782,                0.56984,                0.74006,                 1.0098,               0.008713,               0.008713,               0.008713
                     16,                0.43302,                0.59832,                0.94767,                0.85506,                0.88096,                0.92146,                 0.8051,                0.62257,                0.64334,                 1.0331,               0.008614,               0.008614,               0.008614
